-nan -nan
41854.1 2.09471e+06
41159.6 2.11858e+06
40479.4 2.09801e+06
39813.1 2.08695e+06
39160.5 2.10187e+06
38521.2 2.08478e+06
37894.8 2.08556e+06
37281.1 2.11018e+06
36679.8 2.06766e+06
36090.5 2.07354e+06
35512.9 2.11275e+06
34946.9 2.10021e+06
34392 2.06754e+06
33848.1 2.08695e+06
33314.9 2.10718e+06
32792.2 2.09669e+06
32279.6 2.08447e+06
31777 2.09088e+06
31284.1 2.07623e+06
30800.7 2.10253e+06
30326.6 2.09537e+06
29861.6 2.08369e+06
29405.4 2.08033e+06
28957.9 2.11308e+06
28518.9 2.06754e+06
28088.1 2.08425e+06
27665.4 2.06882e+06
27250.7 2.10787e+06
26843.6 2.11937e+06
26444.1 2.07948e+06
26052.1 2.08304e+06
25667.2 2.11299e+06
25289.4 2.11163e+06
24918.5 2.07246e+06
24554.4 2.09123e+06
24196.9 2.09123e+06
23845.9 2.06905e+06
23501.2 2.07053e+06
23162.7 2.08228e+06
22830.3 2.09186e+06
22503.8 2.08033e+06
22183.1 2.08686e+06
21868.1 2.09693e+06
21558.6 2.073e+06
21254.6 2.09385e+06
20956 2.07356e+06
20662.5 2.09594e+06
20374.2 2.11042e+06
20090.8 2.1113e+06
19812.4 2.11511e+06
19538.8 2.11375e+06
19269.8 2.08445e+06
19005.5 2.10032e+06
18745.7 2.09966e+06
18490.3 2.09208e+06
18239.2 2.10188e+06
17992.4 2.10242e+06
17749.7 2.10541e+06
17511.1 2.07474e+06
17276.5 2.07375e+06
17045.8 2.07968e+06
16819 2.07343e+06
16595.9 2.10432e+06
16376.4 2.11982e+06
16160.6 2.11052e+06
15948.3 2.08436e+06
15739.5 2.1001e+06
15534.1 2.10809e+06
15332 2.09427e+06
15133.2 2.08891e+06
14937.6 2.09418e+06
14745.2 2.11644e+06
14555.8 2.08425e+06
14369.5 2.08002e+06
14186.1 2.07356e+06
14005.7 2.10155e+06
13828.1 2.09341e+06
13653.3 2.08924e+06
13481.2 2.10996e+06
13311.9 2.11197e+06
13145.2 2.10942e+06
12981.1 2.10953e+06
12819.5 2.10154e+06
12660.5 2.10753e+06
12503.9 2.11342e+06
12349.7 2.09002e+06
12197.9 2.06903e+06
12048.4 2.11713e+06
11901.2 2.1092e+06
11756.2 2.09636e+06
11613.4 2.11588e+06
11472.8 2.07657e+06
11334.3 2.06777e+06
11197.9 2.1187e+06
11063.5 2.08826e+06
10931.2 2.07311e+06
10800.8 2.08523e+06
10672.3 2.09077e+06
10545.8 2.07193e+06
10421.1 2.08078e+06
10298.2 2.0851e+06
10177.2 2.07216e+06
10057.9 2.09154e+06
9940.38 2.10729e+06
9824.56 2.10122e+06
9710.41 2.08499e+06
9597.92 2.08078e+06
9487.05 2.09548e+06
9377.77 2.07399e+06
9270.06 2.10408e+06
9163.89 2.08675e+06
9059.24 2.07894e+06
8956.07 2.09526e+06
8854.37 2.10718e+06
8754.1 2.11857e+06
8655.25 2.07644e+06
8557.79 2.10021e+06
8461.69 2.12115e+06
8366.94 2.07452e+06
8273.51 2.11465e+06
8181.38 2.0923e+06
8090.53 2.07504e+06
8000.93 2.11757e+06
7912.57 2.11275e+06
7825.43 2.1113e+06
7739.48 2.09592e+06
7654.7 2.09658e+06
7571.09 2.07246e+06
7488.61 2.10587e+06
7407.24 2.06948e+06
7326.98 2.11735e+06
7247.81 2.08937e+06
7169.7 2.08937e+06
7092.63 2.08597e+06
7016.6 2.1131e+06
6941.59 2.07504e+06
6867.57 2.08076e+06
6794.54 2.11332e+06
6722.47 2.07055e+06
6651.35 2.102e+06
6581.18 2.07302e+06
6511.92 2.08717e+06
6443.58 2.0727e+06
6376.12 2.09066e+06
6309.55 2.09814e+06
6243.84 2.11308e+06
6178.99 2.09537e+06
6114.97 2.11913e+06
6051.78 2.0799e+06
5989.4 2.08566e+06
5927.83 2.07957e+06
5867.04 2.08739e+06
5807.03 2.08979e+06
5747.78 2.11677e+06
5689.29 2.09188e+06
5631.54 2.06861e+06
5574.52 2.09241e+06
5518.22 2.07581e+06
5462.63 2.08534e+06
5407.73 2.11778e+06
5353.52 2.10386e+06
5299.99 2.09318e+06
5247.13 2.09614e+06
5194.92 2.07173e+06
5143.36 2.0911e+06
5092.44 2.11276e+06
5042.14 2.12014e+06
4992.47 2.11565e+06
4943.4 2.09219e+06
4894.94 2.06894e+06
4847.07 2.11746e+06
4799.78 2.10233e+06
4753.06 2.08282e+06
4706.92 2.09449e+06
4661.33 2.09603e+06
4616.29 2.11119e+06
4571.79 2.08532e+06
4527.83 2.08621e+06
4484.39 2.09001e+06
4441.48 2.07927e+06
4399.07 2.06796e+06
4357.17 2.09155e+06
4315.77 2.10131e+06
4274.86 2.11042e+06
4234.43 2.07515e+06
4194.48 2.10718e+06
4154.99 2.09671e+06
4115.97 2.06828e+06
4077.41 2.08066e+06
4039.3 2.07612e+06
4001.63 2.10531e+06
3964.4 2.08673e+06
3927.6 2.07763e+06
3891.23 2.10787e+06
3855.27 2.07386e+06
3819.73 2.08445e+06
3784.6 2.06819e+06
3749.87 2.08489e+06
3715.54 2.0838e+06
3681.6 2.08423e+06
3648.05 2.09792e+06
3614.88 2.07666e+06
3582.08 2.06679e+06
3549.66 2.10596e+06
3517.6 2.11232e+06
3485.9 2.06743e+06
3454.56 2.11143e+06
3423.56 2.10043e+06
3392.92 2.11119e+06
3362.62 2.07504e+06
3332.65 2.08545e+06
3303.02 2.07882e+06
3273.71 2.0863e+06
3244.73 2.0786e+06
3216.07 2.0812e+06
3187.73 2.11007e+06
3159.7 2.08076e+06
3131.97 2.1178e+06
3104.55 2.10144e+06
3077.42 2.11599e+06
3050.6 2.07203e+06
3024.06 2.10809e+06
2997.81 2.07538e+06
2971.85 2.06926e+06
2946.16 2.09583e+06
2920.75 2.08012e+06
2895.62 2.09374e+06
2870.75 2.11029e+06
2846.15 2.09033e+06
2821.82 2.11254e+06
2797.74 2.09495e+06
2773.92 2.11711e+06
2750.35 2.0897e+06
2727.04 2.077e+06
2703.96 2.0909e+06
2681.14 2.11232e+06
2658.55 2.1131e+06
2636.2 2.07248e+06
2614.08 2.08913e+06
2592.2 2.0934e+06
2570.54 2.09616e+06
2549.11 2.08489e+06
2527.9 2.08369e+06
2506.91 2.09988e+06
2486.14 2.07128e+06
2465.58 2.10496e+06
2445.24 2.06796e+06
2425.1 2.1123e+06
2405.18 2.09737e+06
2385.45 2.07884e+06
2365.93 2.07343e+06
2346.6 2.102e+06
2327.48 2.07689e+06
2308.55 2.0784e+06
2289.81 2.10288e+06
2271.25 2.08403e+06
2252.89 2.11632e+06
2234.71 2.11879e+06
2216.72 2.07678e+06
2198.9 2.07839e+06
2181.27 2.07537e+06
2163.81 2.08087e+06
2146.52 2.11141e+06
2129.41 2.11096e+06
2112.47 2.11332e+06
2095.69 2.07992e+06
2079.08 2.08458e+06
2062.64 2.08968e+06
2046.35 2.1041e+06
2030.23 2.08621e+06
2014.27 2.09252e+06
1998.46 2.09002e+06
1982.81 2.0873e+06
1967.31 2.0716e+06
1951.96 2.11174e+06
1936.76 2.09022e+06
1921.71 2.08501e+06
1906.8 2.08143e+06
1892.04 2.07763e+06
1877.42 2.11993e+06
1862.94 2.11733e+06
1848.6 2.09649e+06
1834.4 2.08478e+06
1820.34 2.07055e+06
1806.41 2.07354e+06
1792.61 2.11254e+06
1778.94 2.10864e+06
1765.4 2.0742e+06
1752 2.08915e+06
1738.71 2.08239e+06
1725.56 2.09263e+06
1712.53 2.08782e+06
1699.62 2.07644e+06
1686.83 2.08066e+06
1674.16 2.10021e+06
1661.61 2.11052e+06
1649.18 2.08282e+06
1636.87 2.09363e+06
1624.67 2.07504e+06
1612.58 2.07034e+06
1600.6 2.1064e+06
1588.74 2.09068e+06
1576.99 2.11657e+06
1565.34 2.11543e+06
1553.8 2.11342e+06
1542.37 2.07236e+06
1531.04 2.08196e+06
1519.81 2.11275e+06
1508.69 2.09493e+06
1497.67 2.11478e+06
1486.75 2.08554e+06
1475.93 2.0698e+06
1465.21 2.10774e+06
1454.59 2.08013e+06
1444.06 2.0701e+06
1433.62 2.09385e+06
1423.28 2.081e+06
1413.04 2.07959e+06
1402.88 2.11009e+06
1392.82 2.11243e+06
1382.84 2.0838e+06
1372.96 2.09845e+06
1363.16 2.09132e+06
1353.45 2.08434e+06
1343.83 2.1207e+06
1334.29 2.07894e+06
1324.84 2.08739e+06
1315.47 2.09057e+06
1306.18 2.1161e+06
1296.98 2.07075e+06
1287.85 2.07109e+06
1278.81 2.11455e+06
1269.84 2.07968e+06
1260.96 2.0966e+06
1252.15 2.07538e+06
1243.42 2.09493e+06
1234.76 2.07354e+06
1226.18 2.11489e+06
1217.67 2.10541e+06
1209.24 2.06925e+06
1200.88 2.07741e+06
1192.59 2.08217e+06
1184.37 2.09219e+06
1176.23 2.1084e+06
1168.15 2.06691e+06
1160.14 2.06882e+06
1152.2 2.07968e+06
1144.33 2.08652e+06
1136.53 2.08554e+06
1128.79 2.10753e+06
1121.12 2.06893e+06
1113.51 2.07504e+06
1105.97 2.09044e+06
1098.49 2.07171e+06
1091.08 2.08773e+06
1083.72 2.06978e+06
1076.43 2.08686e+06
1069.2 2.09614e+06
1062.03 2.09691e+06
1054.92 2.09515e+06
1047.87 2.08001e+06
1040.88 2.11397e+06
1033.95 2.10264e+06
1027.07 2.07034e+06
1020.25 2.10441e+06
1013.49 2.10809e+06
1006.79 2.08131e+06
1000.14 2.07409e+06
993.539 2.10299e+06
986.998 2.0838e+06
980.51 2.11567e+06
974.075 2.07001e+06
967.693 2.06926e+06
